"total_march_covid_deaths","Name","Population","Land.area.mi.2.","Water.area.mi.2.","state_num","flesch","favorite_count","id","lang","text","user_location"
814,"California","39,512,223","155,779","7,916",5,52.4965789473684,3,1229166092834107392,"en","@sh_irredeemable @SenTomCotton If Nixon hadnt have gone to China, they would have collapsed under their own weight before the 1980s. Ford didnt have time to go &amp; Carter wouldnt have had the balls. Todays China: We built that.","Southern California"
626,"Florida","21,477,737","53,625","12,133",9,78.8728571428572,0,1227278373908615168,"en","Too damn weird. Do birds carry corona?","Florida, USA"
626,"Florida","21,477,737","53,625","12,133",9,42.715,0,1227278506507173888,"en","Fed Chair Jay Powell, to lawmakers: ""We are closely monitoring the emergence of the #coronavirus, which could lead to dis","Florida, USA"
76,"Minnesota","5,639,632","79,627","7,309",23,49.48,1,1227076529248702464,"en","#coronavirus This is not good.","Minnesota, USA"
477,"Connecticut","3,565,278","4,842","701",7,42.715,0,1229166649493934080,"en","NO. #SARSCoV2 #COVID19 did not originate in the BSL4 lab in Wuhan. It almost certainly originated naturally in wild ba","Torrington, CT + Brooklyn, NY "
626,"Florida","21,477,737","53,625","12,133",9,72.6154545454546,0,1229176594440347648,"en","Make this go viral. China is on the brink of revolution.","Florida, Space Coast, USA"
111,"South Carolina","5,148,714","30,061","1,960",40,57.605,0,1230632462679773184,"en","Anyone else sick of seeing fake news lie about Tom Cotton? He's right about the origins of the corona-virus. He's right about","South Carolina, USA"
626,"Florida","21,477,737","53,625","12,133",9,55.405,0,1232856013944033280,"en","He's got a certain talent for this."" Mike Pence &amp; his christofascist Indiana GOP literally killed thousands, with one of","nyc * FL born"
173,"Arizona","7,278,717","113,594","396",3,50.3827027027027,4,1232302548159123456,"en","Since COVID-19 kills mostly old people and people with health problems, if nothing at all was done to contain it (like 2,000 years ago), would we end up with a 2% smaller population that is #healthier? #coronavirus","Morristown (Phoenix), Arizona"
0,"West Virginia","1,792,147","24,038","192",48,59.635,0,1224165817971019776,"en","1. As always, GOPrs ignore experts &amp; instead are adopting ""Fox News/Ann Coulter/Sounds Good to Me"" rules for dealing wi","West Virginia, USA"
1736,"Michigan","9,986,857","56,539","40,175",22,35.3094117647059,0,1224177806399221760,"en","It's in interest of our loved ones: Pakistan decides not to airlift its citizens from Coronavirus-hit China.","Lake Michigan shore"
312,"Ohio","11,689,100","40,861","3,965",35,49.3907142857143,1,1227952880092667904,"en","Anything for a buck. This should be a clear sign that they really don't care what happens to their followers as long as they send in their money. The evangelical right, the GOP, 45, #MoscowMitch... All of them. They don't care. #VoteBlue2020","Ohio, USA"
499,"Georgia","10,617,423","57,513","1,912",10,48.5485714285714,0,1227841583661404160,"en","Random, but important to remember: Hillary having a private server is one thing, but having SAPs on her private server is","Georgia, USA"
367,"Texas","28,995,881","261,232","7,365",43,118.175,0,1232277640133988352,"en","That door is LOCKED.","Texas, USA"
11,"Utah","3,205,958","82,170","2,727",44,51.175,0,1227950175076798464,"en","The F.B.I. is investigating Harvard &amp; Yale for failing to report funds provided by Communist China . Next time you hea","Utah, USA"
3725,"New Jersey","8,882,190","7,354","1,368",30,75.1211764705883,0,1224367456921300992,"en","How much did the Chinese know about Coronavirus when they signed that deal in the East Room.","New Jersey, USA"
510,"Washington","7,614,893","66,456","4,842",47,3.345,0,1224366709781467136,"en","Novel #coronavirus: guidance for primary care","Washington DC USA"
1736,"Michigan","9,986,857","56,539","40,175",22,46.9450000000001,0,1224841796754247680,"en","State and local law enforcement are on the front lines combatting the opioid epidemic. It's imperative they have the res","Michigan, USA"
27,"New Hampshire","1,359,711","8,953","397",29,61.665,0,1233646987981082624,"en","Stormy Daniels. Hoax! * Muslim ban. Hoax! * 23 woman accuse him of sexual assault. Hoax! * Friends with Jeffrey Epstein.","Plymouth, New Hampshire"
3725,"New Jersey","8,882,190","7,354","1,368",30,72.325,0,1224838670492078080,"en","Normal? These are trained LEO prepping fire arms and automatic rifles to round up ""infected"" people? Where is the threat?","Cinnaminson, NJ  USA"
822,"Illinois","12,671,821","55,519","2,395",13,49.5184210526316,0,1232872406064205824,"en","Ive seen Democrats be tougher on Trump for his coronavirus response than theyve been on China, whose communist governme","Marion, Illinois"
3191,"New York","19,453,561","47,126","7,429",32,35.3094117647059,0,1233735906160529408,"en","US sanctions have prevented Iran from buying Coronavirus testing kits, allowing the disease to spread unhindered. Sancti","New York, NY"
98,"Kentucky","4,467,673","39,486","921",17,25.455,0,1230617912530087936,"en","How to Combat the Coronavirus with Proper Hand Washing | Frequent Business Traveler","Florence, Kentucky USA"
150,"Alabama","4,903,185","50,645","1,775",1,45.0657894736842,0,1233730870143524864,"en","President Trump is 100% right. Democrats attempting to score political points off coronavirus are trying to pull off ano","South Alabama"
1736,"Michigan","9,986,857","56,539","40,175",22,53.971052631579,0,1227272126920523776,"en","Sick: Border Patrol officers intercepted a passenger from China carrying 200 dead birds in his suitcase He was trying","Michigan, USA"
3191,"New York","19,453,561","47,126","7,429",32,5.45058823529416,0,1227056165370159104,"en","After criticizing President Obama's handling of the Ebola outbreak, President Trump now confronts another epidemic in the","New York"
814,"California","39,512,223","155,779","7,916",5,28.765,0,1227058773757349888,"en","trump is unfit to lead - he should be impeached for firing the Vindman brothers #VindmanIsAHero #CoronavirusOutbreak is real - #","California, USA"
173,"Arizona","7,278,717","113,594","396",3,59.635,0,1229178750073335808,"en","This is spooky. A book first published back in 2008 had apparently predicted a ""pmeumonia-like"" outbreak across the globe i","Southern Arizona"
367,"Texas","28,995,881","261,232","7,365",43,78.245,0,1228980691699994624,"en","Bloomberg would be a disaster for our country he would","Deep in the  of Texas"
1736,"Michigan","9,986,857","56,539","40,175",22,61.89,0,1227245800453017600,"en","NPR: Will Coronavirus Quarantines Help Or Hurt? A Look Back At Leprosy : Shots Health News","Michigan"
814,"California","39,512,223","155,779","7,916",5,57.605,0,1227243145580040192,"en","A Japanese cruise liner with more than 3,000 people on board was in quarantine Tuesday after a passenger, who had already le","Tijuana Baja California Mxico"
859,"Pennsylvania","12,801,989","44,743","1,312",38,51.175,0,1227034160142966784,"en","The President frequently talks about how much he admires authoritarians and that he wishes we could emulate them and it's","Lancaster County, PA "
312,"Ohio","11,689,100","40,861","3,965",35,60.6342857142857,0,1227241416763625472,"en","The coronavirus death toll passed 1,000 in China, after 100+ deaths recorded in a single day. What we know: Mortality rate","Cleveland, OH "
62,"Oregon","4,217,737","95,988","2,391",37,58.4291304347826,0,1232838640855683072,"en","When Mike Pence was governor of Indiana, his public health record was so stellar that his state policy led directly to a l","Oregon, USA"
79,"North Carolina","10,488,084","48,618","5,201",33,52.5771428571429,0,1233057556060409856,"en","Hubby went for regular check up today &amp; asked our Doc his assessment of the Coronavirus. Exact words Its nothing wo","North Carolina, USA"
367,"Texas","28,995,881","261,232","7,365",43,30.9476923076923,0,1232832773653770240,"en","CDC confirms the first US coronavirus case of unknown origin, in northern California","Texas, USA"
367,"Texas","28,995,881","261,232","7,365",43,49.5184210526316,0,1233058767333445632,"en","Iran's Vice President, who once served as spokeswoman for the hostage-takers following the 1979 siege of the U.S. embass","My Heart Is Always In Texas"
53,"Kansas","2,913,314","81,759","520",16,20.38,0,1225493989333270528,"en","Attorney General William Barr is warning about China's continuing advancements in global 5-G technology -- news at 1:00.","Wichita, Kansas"
3191,"New York","19,453,561","47,126","7,429",32,59.635,0,1226082356722896896,"en","A United States citizen has died from the new coronavirus in Wuhan, China, in what appeared to be the first","New York, NY"
3191,"New York","19,453,561","47,126","7,429",32,86.705,0,1233052999494316032,"en","Me: ""I think I have the Corona Virus"" School Nurse:","New York, USA"
814,"California","39,512,223","155,779","7,916",5,80.6777272727273,0,1233703459649511424,"en","I couldn't believe it when Trump put Pence, a walking waxwork who also doesn't believe in science, in charge of the co","California, USA"
367,"Texas","28,995,881","261,232","7,365",43,66.365,0,1233606370085265408,"en","Trying to blame Trump for the Coronavirus, would be like trying to blame Rosie ODonnell for World Hunger.","Granbury, Texas"
436,"Indiana","6,732,219","35,826","593",14,53.655,0,1233610438950125568,"en","Just wait til Trump supporters find out coronavirus also kills white people.","Indianapolis, IN"
859,"Pennsylvania","12,801,989","44,743","1,312",38,45.2623529411765,0,1233606243534680064,"en","This tweet is a reminder that @realDonaldTrump also demanded that @TheDemocrats cut $37,000,000 from Heating Assistance Pro","Pennsylvania, USA"
814,"California","39,512,223","155,779","7,916",5,49.5184210526316,0,1233609584486408192,"en","PSA for non-science folks: Wonder why everyone is emphasizing hand washing? Sounds banal, but soap really IS an amazin","Goat Hill, California"
105,"Tennessee","6,829,174","41,235","909",42,57.605,0,1232254765771493376,"en","According to @cvpayne - the stock markets dive isnt due to corona virus; its the direct result of Bernie taking a solid lea","Kingsport, TN "
3191,"New York","19,453,561","47,126","7,429",32,64.6628571428572,0,1228386600922550272,"en","This is what it's like to catch the coronavirus. This 21-year-old student in Wuhan who was diagnosed with the virus shares","New York City"
1736,"Michigan","9,986,857","56,539","40,175",22,69.4639130434783,0,1232158118488018944,"en","Notably on the day the stock market traded down more than 1,00 points over fears of the spread of the coronavirus, the pos","Michigan"
499,"Georgia","10,617,423","57,513","1,912",10,-0.423043478260837,0,1228405474858586112,"en","#Nowplaying on #KISAPublicRadio: The China Africa Project - Chinese Investment and Labor Practices in Ethiopia. Thank you for listening. #publicradio #interview #news #radio #journalism","Georgia"
37,"Iowa","3,155,070","55,857","416",15,46.9450000000001,0,1232158408754835456,"en","Doctors Im speaking to are asking how its possible countries neighboring or near to China (India/ Indonesia) have few o","Iowa, USA"
510,"Washington","7,614,893","66,456","4,842",47,-9.09999999999999,0,1232271014471430144,"en","Senate-wide briefing this morning by the administration on coronavirus","Washington, USA"
436,"Indiana","6,732,219","35,826","593",14,62.1073913043478,0,1232271342390693888,"en","Coronavirus isn't the only thing to blame for today's 1000 point Dow drop. It was only a matter of time before Trump's econom","Northern Indiana"
53,"Kansas","2,913,314","81,759","520",16,37.4553846153846,0,1224614885083971584,"en","former EU envoy to South Korea, was able to prevent Chinese #dissient/#activist #LiuXia,","Wichita, Kansas"
398,"Colorado","5,758,736","103,642","452",6,49.5184210526316,0,1224793218144821248,"en","Hong Kong reported its first #coronavirus death, the second outside mainland China from a fast-spreading outbreak that has kil","Northern Colorado"
